startstation_name,total_trips,avg_daily_trips,peak_hour_departure_ratio,weekend_usage_ratio,id,latitude,longitude,nbDocks,early_peak_zero_days_ratio,spatial_density_index,turnover_rate,cuberoot_peak,quantile_early,sqrt_spatial,cuberoot_turnover,orig_weekend,boxcox_trips,quantile_peak,has_early_peak,log_trips,arcsine_early,log_turnover,log_spatial,avg_daily_trips_t,turnover_rate_t,early_zero_t,spatial_density_t,early_normalized,orig_early,scaled_log_trips,scaled_log_turnover,scaled_log_spatial,scaled_early_normalized,scaled_peak_hour_departure_ratio,scaled_weekend_usage_ratio,scaled_avg_daily_trips_t,scaled_turnover_rate_t,scaled_early_normalized,scaled_peak_hour_departure_ratio,scaled_weekend_usage_ratio,scaled_spatial_density_t,cluster
"All Saints Church, Portobello",14464,39.51912568306011,0.4681120296946178,0.2849670997131769,BikePoints_661,51.51632,-0.202608,37.0,0.1755725190839694,6,1.0680844779205436,0.7764555536765612,-0.5088872830965829,2.449489742783178,1.0221984103201738,0.2849670997131769,0.7335239863994439,0.4760705289672544,1,3.7017741017306114,0.43235884027381555,0.7266228058701317,1.9459101490553132,3.7017741017306114,0.7266228058701317,0.43235884027381555,1.9459101490553132,-0.5081890708286068,0.1755725190839694,0.7601556744829078,-0.057520379378633996,0.16725901318743908,-0.5246007618407192,-0.04027375177842643,0.7314937668374353,0.7601556744829078,-0.057520379378633996,-0.5246007618407192,-0.04027375177842643,0.7314937668374353,0.16725901318743908,0
"All Saints' Road, Portobello",5994,16.37704918032787,0.4090437668533499,0.313627878033603,BikePoints_643,51.519042,-0.204764,22.0,0.183206106870229,4,0.7444113263785396,0.7423178884907368,-0.11389642540194628,2.0,0.9062979357171401,0.313627878033603,-0.7997989619137991,0.15113350125944583,1,2.8551503229328015,0.4423072580088116,0.5564171499592837,1.6094379124341003,2.8551503229328015,0.5564171499592837,0.4423072580088116,1.6094379124341003,-0.11375253952545754,0.183206106870229,-0.769310833473007,-0.6276205869226164,-0.46747220892857283,-0.12285797115076341,-0.9745253654744096,1.2028742141951307,-0.769310833473007,-0.6276205869226164,-0.12285797115076341,-0.9745253654744096,1.2028742141951307,-0.46747220892857283,1
"Allington Street, Victoria",24609,67.23770491803279,0.4894318009022251,0.2086775812256069,BikePoints_826,51.496863,-0.142943,28.0,0.1717557251908397,8,2.401346604215457,0.7880686684332269,-0.8818947005451624,2.8284271247461903,1.3391162592438564,0.2086775812256069,1.8804555507917724,0.6347607052896725,1,4.222997270115388,0.4273210360919361,1.2241714132744015,2.1972245773362196,4.222997270115388,1.2241714132744015,0.4273210360919361,2.1972245773362196,-0.8781280840352094,0.1717557251908397,1.7017703552649455,1.6090080495765582,0.6413460160259661,-0.9013922599803399,0.29692984447192095,-0.5232309636401331,1.7017703552649455,1.6090080495765582,-0.9013922599803399,0.29692984447192095,-0.5232309636401331,0.6413460160259661,0
"Alma Road, Wandsworth",3700,10.109289617486338,0.509929532351057,0.2524023062139654,BikePoints_724,51.457991,-0.184806,28.0,0.2137404580152671,3,0.3610460577673692,0.7989201745598977,0.6161684101209807,1.7320508075688772,0.7120670160635532,0.2524023062139654,-1.4794197277570496,0.7531486146095717,1,2.4077816607869256,0.4806106475397544,0.30825356421897154,1.3862943611198906,2.4077816607869256,0.30825356421897154,0.4806106475397544,1.3862943611198906,0.6152876382028224,0.2137404580152671,-1.5775038025303654,-1.4588392146368188,-0.8884168326373744,0.6196864239082197,0.6211316706647672,0.1959044413783531,-1.5775038025303654,-1.4588392146368188,0.6196864239082197,0.6211316706647672,0.1959044413783531,-0.8884168326373744,1
"Alpha Grove, Millwall",4195,11.46174863387978,0.4829712272460364,0.266001174398121,BikePoints_576,51.497304,-0.022793,23.0,0.183206106870229,2,0.4983368971252078,0.7845857563954647,-0.11389642540194628,1.4142135623730951,0.7928195447349491,0.266001174398121,-1.3121130133533339,0.5856423173803527,1,2.522663843310334,0.4423072580088116,0.40435575775667715,1.0986122886681096,2.522663843310334,0.40435575775667715,0.4423072580088116,1.0986122886681096,-0.11375253952545754,0.183206106870229,-1.3699636236094113,-1.1369469708798001,-1.4311088397456777,-0.12285797115076341,0.19474635246851058,0.4195634256717807,-1.3699636236094113,-1.1369469708798001,-0.12285797115076341,0.19474635246851058,0.4195634256717807,-1.4311088397456777,1
"Ampton Street , Clerkenwell",8206,22.420765027322403,0.4298887587822014,0.2365339578454332,BikePoints_26,51.52728,-0.118295,21.0,0.183206106870229,12,1.067655477491543,0.754719138127553,-0.11389642540194628,3.4641016151377544,1.0220615352913076,0.2365339578454332,-0.2999744144198355,0.2619647355163728,1,3.153623023192101,0.4423072580088116,0.7264153458097002,2.5649493574615367,3.153623023192101,0.7264153458097002,0.4423072580088116,2.5649493574615367,-0.11375253952545754,0.183206106870229,-0.2301055689646195,-0.05821526241807322,1.3350329645691945,-0.12285797115076341,-0.6448311031030528,-0.06508041636556852,-0.2301055689646195,-0.05821526241807322,-0.12285797115076341,-0.6448311031030528,-0.06508041636556852,1.3350329645691945,0
"Ansell House, Stepney",12203,33.34153005464481,0.4245537049965094,0.2691732322728632,BikePoints_500,51.520019,-0.05438,41.0,0.1717557251908397,4,0.813208050113288,0.751584032836655,-0.8818947005451624,2.0,0.933398767422913,0.2691732322728632,0.404480445257753,0.2229219143576826,1,3.536355410523471,0.4273210360919361,0.5950976798018625,1.6094379124341003,3.536355410523471,0.5950976798018625,0.4273210360919361,1.6094379124341003,-0.8781280840352094,0.1717557251908397,0.46131886605959466,-0.4980609787347671,-0.46747220892857283,-0.9013922599803399,-0.7292128399052963,0.47173388815272643,0.46131886605959466,-0.4980609787347671,-0.9013922599803399,-0.7292128399052963,0.47173388815272643,-0.46747220892857283,0
"Antill Road, Mile End",7771,21.23224043715847,0.4818677792041078,0.2830551989730424,BikePoints_518,51.528224,-0.037471,30.0,0.183206106870229,3,0.7077413479052823,0.7839877844155339,-0.11389642540194628,1.7320508075688772,0.8911651397816553,0.2830551989730424,-0.39013734196859434,0.570528967254408,1,3.101543507295291,0.4423072580088116,0.5351716482461969,1.3862943611198906,3.101543507295291,0.5351716482461969,0.4423072580088116,1.3862943611198906,-0.11375253952545754,0.183206106870229,-0.3241897150865673,-0.6987819409398471,-0.8884168326373744,-0.12285797115076341,0.17729369575890333,0.7000489604154886,-0.3241897150865673,-0.6987819409398471,-0.12285797115076341,0.17729369575890333,0.7000489604154886,-0.8884168326373744,1
"Archbishop's Park, Waterloo",6814,18.61748633879781,0.4742713206189277,0.2128463476070529,BikePoints_641,51.498241,-0.117495,23.0,0.2557251908396946,6,0.8094559277738178,0.779846189603163,0.9246197655128366,2.449489742783178,0.9319609940625885,0.2128463476070529,-0.6015744725325194,0.5251889168765743,1,2.9764213286409036,0.5301848043379311,0.5930262077006305,1.9459101490553132,2.9764213286409036,0.5930262077006305,0.5301848043379311,1.9459101490553132,0.923062102341373,0.2557251908396946,-0.5502289387026393,-0.5049993302749325,0.16725901318743908,0.9331618814618641,0.057144509881357726,-0.45466775367261936,-0.5502289387026393,-0.5049993302749325,0.9331618814618641,0.057144509881357726,-0.45466775367261936,0.16725901318743908,1
"Argyle Street, Kings Cross",36974,101.02185792349728,0.6337341459397134,0.1479822105089771,BikePoints_14,51.529416,-0.123944,45.0,0.1641221374045801,8,2.2449301760777174,0.8589522782449791,-5.199337582605575,2.8284271247461903,1.309385757151479,0.1479822105089771,2.8948047395618524,0.986146095717884,1,4.625187083694348,0.41710997605019806,1.1770938325370988,2.1972245773362196,4.625187083694348,1.1770938325370988,0.41710997605019806,2.1972245773362196,-2.0642532537328497,0.1641221374045801,2.428345565074825,1.4513226988437786,0.6413460160259661,-2.1094883615447615,2.5792840601980713,-1.5214805813260492,2.428345565074825,1.4513226988437786,-2.1094883615447615,2.5792840601980713,-1.5214805813260492,0.6413460160259661,2
