startstation_name,total_trips,avg_daily_trips,peak_hour_departure_ratio,weekend_usage_ratio,id,latitude,longitude,nbDocks,early_peak_zero_days_ratio,spatial_density_index,turnover_rate
"Blythe Road West, Shepherd's Bush",7334,20.038251366120218,0.5211361737677527,0.2584795321637427,BikePoints_657,51.49968,-0.221791,21.0,0.1717557251908397,3,0.9542024460057248
"Blythe Road, Olympia",8671,23.69125683060109,0.5199211600732085,0.2501759819794453,BikePoints_525,51.496927,-0.2135,24.0,0.1717557251908397,4,0.9871357012750456
"Bolsover Street, Fitzrovia",11563,31.592896174863387,0.4449005367856015,0.2368171771392485,BikePoints_28,51.523518,-0.143613,19.0,0.1717557251908397,6,1.662784009203336
"Bonner Gate, Victoria Park",15290,41.77595628415301,0.4295052126427271,0.414529207347344,BikePoints_502,51.53341,-0.049591,21.0,0.1679389312977099,2,1.989331251626334
"Bonny Street, Camden Town",15624,42.68852459016394,0.4921336123382159,0.2348291095094164,BikePoints_462,51.541603,-0.138853,45.0,0.1679389312977099,5,0.9486338797814208
"Borough High Street, The Borough",10944,29.901639344262296,0.4515473232437316,0.2200135531962954,BikePoints_125,51.500694,-0.094524,21.0,0.1793893129770992,8,1.423887587822014
"Borough Road, Elephant & Castle",8400,22.950819672131143,0.5179300291545189,0.2276967930029154,BikePoints_92,51.498898,-0.10044,41.0,0.1793893129770992,8,0.5597760895641742
"Boston Place, Marylebone",19090,52.15846994535519,0.6372984638821887,0.1030214548686048,BikePoints_45,51.522511,-0.162298,26.0,0.1755725190839694,8,2.0060949978982765
"Bourne Street, Belgravia",9039,24.69672131147541,0.391158740790355,0.2791694574681849,BikePoints_259,51.490959,-0.153233,16.0,0.2251908396946564,5,1.5435450819672132
"Bow Church Station, Bow",10015,27.363387978142075,0.5257706535141801,0.2833538840937115,BikePoints_495,51.528169,-0.018703,39.0,0.1717557251908397,3,0.7016253327728738
"Bow Road Station, Bow",9443,25.80054644808743,0.4184518333552372,0.2666579051123669,BikePoints_498,51.527058,-0.025296,42.0,0.183206106870229,4,0.6142987249544627
"Braham Street, Aldgate",20083,54.87158469945355,0.5217417932386085,0.1899191572758451,BikePoints_115,51.514233,-0.073537,34.0,0.1717557251908397,8,1.613870138219222
"Bramham Gardens, Earl's Court",17089,46.69125683060109,0.4732249665751882,0.2410104848356906,BikePoints_219,51.490163,-0.190393,29.0,0.1717557251908397,6,1.6100433389862443
"Brandon Street, Walworth",8671,23.69125683060109,0.4471815678887118,0.2608317635125344,BikePoints_850,51.489102,-0.091548,22.0,0.1717557251908397,3,1.0768753104818678
"Breams Buildings, Holborn",8075,22.062841530054644,0.590198563582594,0.079284607801718,BikePoints_84,51.515937,-0.111778,25.0,0.4503816793893129,14,0.8825136612021858
"Brick Lane Market, Shoreditch",9319,25.461748633879782,0.3989123045547246,0.3225016995241332,BikePoints_399,51.522617,-0.071653,24.0,0.1755725190839694,8,1.0609061930783243
"Bricklayers Arms, Borough",14508,39.63934426229508,0.5020850708924104,0.2467055879899916,BikePoints_94,51.495061,-0.085814,28.0,0.1870229007633587,6,1.4156908665105388
"Bridge Avenue, Hammersmith",13826,37.77595628415301,0.4095040950409504,0.2732427324273243,BikePoints_730,51.492084,-0.229116,18.0,0.1679389312977099,2,2.0986642380085008
"British Museum, Bloomsbury",14547,39.74590163934426,0.4070766351960534,0.2154461172067704,BikePoints_24,51.51908,-0.124678,35.0,0.1870229007633587,8,1.1355971896955503
"Broadcasting House, Marylebone",11903,32.521857923497265,0.4872396896692527,0.2112086565945283,BikePoints_6,51.518117,-0.144228,18.0,0.2099236641221374,10,1.806769884638737
"Broadley Terrace, Marylebone",5877,16.057377049180328,0.5065502183406113,0.2098149303389478,BikePoints_759,51.524561,-0.165668,18.0,0.1870229007633587,8,0.8920765027322405
"Broadwick Street, Soho",15360,41.967213114754095,0.4282260014507939,0.2344644152494559,BikePoints_260,51.513684,-0.13558,18.0,0.1908396946564885,9,2.331511839708561
"Bromley High Street, Bow",5640,15.40983606557377,0.4813817855540601,0.2741139524450426,BikePoints_484,51.528828,-0.013258,24.0,0.1755725190839694,2,0.6420765027322405
"Brook Green South, Brook Green",5997,16.385245901639344,0.4912280701754385,0.2184822521419828,BikePoints_634,51.494347,-0.215804,33.0,0.2480916030534351,4,0.4965226030799801
"Broomhouse Lane, Parsons Green",3872,10.579234972677597,0.4487421383647799,0.2880503144654088,BikePoints_656,51.468418,-0.199135,29.0,0.1984732824427481,4,0.3648012059543999
"Brunswick Square, Bloomsbury",13099,35.7896174863388,0.4169608025264722,0.2384358164592235,BikePoints_11,51.523951,-0.122502,24.0,0.2213740458015267,8,1.4912340619307831
"Brushfield Street, Liverpool Street",32589,89.04098360655738,0.4763581298504638,0.2229036532273329,BikePoints_251,51.518908,-0.079249,34.0,0.1793893129770992,11,2.6188524590163933
"Bruton Street, Mayfair",6699,18.30327868852459,0.59367602299628,0.1591139668583023,BikePoints_44,51.510736,-0.144165,21.0,0.8396946564885496,12,0.8715846994535519
"Buckingham Gate, Westminster",11993,32.76775956284153,0.4303339714954265,0.261327377153797,BikePoints_646,51.498865,-0.137424,16.0,0.2137404580152671,8,2.047984972677596
"Bunhill Row, Moorgate",16859,46.06284153005465,0.520005695571693,0.1571977787270397,BikePoints_331,51.520858,-0.089887,30.0,0.1946564885496183,11,1.5354280510018217
"Burdett Road, Mile End",9012,24.62295081967213,0.435683629675046,0.2696505211526671,BikePoints_460,51.516196,-0.029138,33.0,0.3015267175572519,4,0.7461500248385494
"Burgess Park Albany Road, Walworth",14194,38.78142076502732,0.4726982153955429,0.3073781408150581,BikePoints_846,51.48224,-0.094284,30.0,0.1717557251908397,0,1.2927140255009106
"Bury Place, Holborn",8664,23.672131147540984,0.4821556542926759,0.1618174000286656,BikePoints_562,51.51742,-0.123189,21.0,0.2671755725190839,11,1.1272443403590944
"Butler Place, Westminster",8394,22.9344262295082,0.5328134196586227,0.1478811065332548,BikePoints_359,51.497829,-0.13544,18.0,0.1946564885496183,9,1.2741347905282334
"Buxton Street 1, Shoreditch",4738,12.94535519125683,0.4698108318217154,0.2935993780772221,BikePoints_390,51.521776,-0.068856,41.0,0.2061068702290076,9,0.3157403705184592
"Cadogan Close, Victoria Park",9056,24.743169398907103,0.4033126293995859,0.3516908212560386,BikePoints_692,51.542118,-0.028941,22.0,0.183206106870229,0,1.124689518132141
"Cadogan Gardens, Chelsea",14617,39.93715846994535,0.4349586637421967,0.283701704066138,BikePoints_395,51.492462,-0.159919,15.0,0.1984732824427481,9,2.66247723132969
"Cadogan Place, Knightsbridge",7011,19.15573770491803,0.4699029126213592,0.2109443954104148,BikePoints_211,51.494645,-0.158105,34.0,0.2404580152671755,5,0.563404050144648
"Caldwell Street, Stockwell",11577,31.631147540983605,0.5352370689655173,0.2394396551724138,BikePoints_603,51.477839,-0.116493,44.0,0.1755725190839694,2,0.7188897168405365
"Calshot Street , King's Cross",4781,13.062841530054644,0.4919416730621642,0.2269122537733435,BikePoints_70,51.53136,-0.117069,24.0,0.1870229007633587,11,0.5442850637522768
"Camley Street, Camden Town",2748,7.508196721311475,0.4636184857423795,0.2271386430678466,BikePoints_425,51.53792,-0.130529,18.0,0.6297709923664122,3,0.4171220400728597
"Campden Hill Road, Notting Hill",5070,13.852459016393444,0.4083922908026348,0.2722615272017565,BikePoints_212,51.506584,-0.199004,17.0,0.232824427480916,5,0.814850530376085
"Canada Water Station, Rotherhithe",14485,39.57650273224044,0.500308451573103,0.2966422843042214,BikePoints_844,51.498439,-0.04915,35.0,0.1755725190839694,1,1.1307572209211554
"Canton Street, Poplar",5676,15.508196721311476,0.4592660973921071,0.2764828063697207,BikePoints_487,51.511811,-0.025626,23.0,0.1908396946564885,3,0.6742694226657163
"Cantrell Road, Bow",2689,7.346994535519125,0.5204310731926358,0.2537045352492142,BikePoints_468,51.521564,-0.022694,24.0,0.2137404580152671,2,0.3061247723132969
"Carey Street, Holborn",7160,19.562841530054644,0.502710945442223,0.1382582175533717,BikePoints_232,51.51501,-0.112753,16.0,0.6068702290076335,12,1.2226775956284153
"Carnegie Street, King's Cross",6347,17.34153005464481,0.5035128805620609,0.2197501951600312,BikePoints_674,51.535467,-0.116191,40.0,0.1755725190839694,5,0.4335382513661202
"Cartwright Gardens , Bloomsbury",10955,29.93169398907104,0.4004142592390712,0.2137795704785784,BikePoints_16,51.526357,-0.125979,21.0,0.1793893129770992,12,1.4253187613843352
"Castlehaven Road, Camden Town",15447,42.204918032786885,0.4471977382338267,0.3114917678363545,BikePoints_457,51.542138,-0.145393,29.0,0.183206106870229,5,1.4553420011305822
"Central House, Aldgate",13822,37.76502732240437,0.3812772925764192,0.2612809315866084,BikePoints_33,51.515231,-0.07015,24.0,0.1755725190839694,7,1.573542805100182
"Cephas Street, Bethnal Green",9158,25.02185792349727,0.4387984649993384,0.2553923514622204,BikePoints_501,51.522561,-0.054883,24.0,0.1870229007633587,4,1.0425774134790529
